transition_id,machine_id,object_family,state_field,machine_class,transition_kind,raw_transition,source_state_or_selector,source_ref_kind,event_code_or_null,target_state_or_selector,target_ref_kind,source_file,source_heading_or_logical_block,rationale
machine_amendment_case_lifecycle_state_edge_005,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,INTENT_REQUIRED --intent_sent--> INTENT_SUBMITTED,INTENT_REQUIRED,state,intent_sent,INTENT_SUBMITTED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1111[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_006,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,INTENT_SUBMITTED --authority_validations_pass--> READY_TO_AMEND,INTENT_SUBMITTED,state,authority_validations_pass,READY_TO_AMEND,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1112[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_007,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,INTENT_SUBMITTED --freshness_invalidated--> INTENT_REQUIRED,INTENT_SUBMITTED,state,freshness_invalidated,INTENT_REQUIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1113[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_008,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,READY_TO_AMEND --freshness_invalidated--> INTENT_REQUIRED,READY_TO_AMEND,state,freshness_invalidated,INTENT_REQUIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1114[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_009,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,READY_TO_AMEND --amendment_submission_sent--> AMEND_SUBMITTED,READY_TO_AMEND,state,amendment_submission_sent,AMEND_SUBMITTED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1115[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_010,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,AMEND_SUBMITTED --awaiting_ack--> AMEND_PENDING,AMEND_SUBMITTED,state,awaiting_ack,AMEND_PENDING,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1116[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_011,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,AMEND_PENDING --authority_confirms--> AMEND_CONFIRMED,AMEND_PENDING,state,authority_confirms,AMEND_CONFIRMED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1117[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_012,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,AMEND_PENDING --authority_rejects--> AMEND_REJECTED,AMEND_PENDING,state,authority_rejects,AMEND_REJECTED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1118[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_013,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,ELIGIBLE --amendment_window_expires--> WINDOW_CLOSED,ELIGIBLE,state,amendment_window_expires,WINDOW_CLOSED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1119[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_014,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,READY_TO_AMEND --amendment_window_expires--> WINDOW_CLOSED,READY_TO_AMEND,state,amendment_window_expires,WINDOW_CLOSED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1120[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_015,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,any_non_superseded_state --same_scope_chain_superseded--> SUPERSEDED,any_non_superseded_state,selector_alias,same_scope_chain_superseded,SUPERSEDED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1121[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_amendment_case_lifecycle_state_edge_016,machine_amendment_case_lifecycle_state,AmendmentCase,lifecycle_state,lifecycle,explicit_event_edge,AMEND_CONFIRMED --later_same_scope_confirmed--> SUPERSEDED,AMEND_CONFIRMED,state,later_same_scope_confirmed,SUPERSEDED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1122[AmendmentCase.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_api_command_receipt_acceptance_state_edge_001,machine_api_command_receipt_acceptance_state,ApiCommandReceipt,acceptance_state,release_control,explicit_event_edge,ACCEPTED --expiry_window_elapsed--> EXPIRED,ACCEPTED,state,expiry_window_elapsed,EXPIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1293[ApiCommandReceipt.acceptance_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_api_command_receipt_acceptance_state_edge_002,machine_api_command_receipt_acceptance_state,ApiCommandReceipt,acceptance_state,release_control,explicit_event_edge,DUPLICATE_REPLAY --expiry_window_elapsed--> EXPIRED,DUPLICATE_REPLAY,state,expiry_window_elapsed,EXPIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1294[ApiCommandReceipt.acceptance_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_api_command_receipt_acceptance_state_edge_003,machine_api_command_receipt_acceptance_state,ApiCommandReceipt,acceptance_state,release_control,explicit_event_edge,REJECTED_STALE_VIEW --expiry_window_elapsed--> EXPIRED,REJECTED_STALE_VIEW,state,expiry_window_elapsed,EXPIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1295[ApiCommandReceipt.acceptance_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_api_command_receipt_acceptance_state_edge_004,machine_api_command_receipt_acceptance_state,ApiCommandReceipt,acceptance_state,release_control,explicit_event_edge,REJECTED_POLICY --expiry_window_elapsed--> EXPIRED,REJECTED_POLICY,state,expiry_window_elapsed,EXPIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1296[ApiCommandReceipt.acceptance_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_api_command_receipt_acceptance_state_edge_005,machine_api_command_receipt_acceptance_state,ApiCommandReceipt,acceptance_state,release_control,explicit_event_edge,REJECTED_INVALID --expiry_window_elapsed--> EXPIRED,REJECTED_INVALID,state,expiry_window_elapsed,EXPIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1297[ApiCommandReceipt.acceptance_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_001,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,ACTIVE --retention_limitation--> LIMITED,ACTIVE,state,retention_limitation,LIMITED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1181[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_002,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,ACTIVE --legal_hold_apply--> LEGAL_HOLD,ACTIVE,state,legal_hold_apply,LEGAL_HOLD,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1182[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_003,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,LIMITED --erasure_requested_or_due--> ERASURE_PENDING,LIMITED,state,erasure_requested_or_due,ERASURE_PENDING,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1183[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_004,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,LEGAL_HOLD --hold_released--> ACTIVE,LEGAL_HOLD,state,hold_released,ACTIVE,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1184[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_005,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,ERASURE_PENDING --pseudonymise_first--> PSEUDONYMISED,ERASURE_PENDING,state,pseudonymise_first,PSEUDONYMISED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1185[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_006,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,ERASURE_PENDING --erasure_complete--> ERASED,ERASURE_PENDING,state,erasure_complete,ERASED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1186[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_artifact_retention_lifecycle_state_edge_007,machine_artifact_retention_lifecycle_state,ArtifactRetention,lifecycle_state,lifecycle,explicit_event_edge,PSEUDONYMISED --final_delete--> ERASED,PSEUDONYMISED,state,final_delete,ERASED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1187[ArtifactRetention.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_001,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,REQUEST_REGISTERED --dispatch_materialized--> DISPATCH_READY,REQUEST_REGISTERED,state,dispatch_materialized,DISPATCH_READY,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L921[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_002,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,DISPATCH_READY --exclusive_gateway_claim_and_send_begin--> TRANSMIT_IN_FLIGHT,DISPATCH_READY,state,exclusive_gateway_claim_and_send_begin,TRANSMIT_IN_FLIGHT,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L922[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_003,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,DISPATCH_READY --duplicate_bucket_changed_before_send--> ABANDONED,DISPATCH_READY,state,duplicate_bucket_changed_before_send,ABANDONED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L923[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_004,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,TRANSMIT_IN_FLIGHT --provider_response_captured--> RESPONSE_CAPTURED,TRANSMIT_IN_FLIGHT,state,provider_response_captured,RESPONSE_CAPTURED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L924[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_005,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,TRANSMIT_IN_FLIGHT --timeout_envelope_recorded--> RESPONSE_CAPTURED,TRANSMIT_IN_FLIGHT,state,timeout_envelope_recorded,RESPONSE_CAPTURED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L925[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_006,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,RESPONSE_CAPTURED --reconciliation_begin--> RECONCILING,RESPONSE_CAPTURED,state,reconciliation_begin,RECONCILING,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L926[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_007,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,RESPONSE_CAPTURED --response_terminal_without_reconciliation--> RESOLVED,RESPONSE_CAPTURED,state,response_terminal_without_reconciliation,RESOLVED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L927[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_008,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,RECONCILING --resolution_reached--> RESOLVED,RECONCILING,state,resolution_reached,RESOLVED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L928[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_009,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,DISPATCH_READY --binding_invalidated_before_send--> ABANDONED,DISPATCH_READY,state,binding_invalidated_before_send,ABANDONED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L929[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_interaction_record_lifecycle_state_edge_010,machine_authority_interaction_record_lifecycle_state,AuthorityInteractionRecord,lifecycle_state,lifecycle,explicit_event_edge,TRANSMIT_IN_FLIGHT --exchange_superseded_or_quarantined--> ABANDONED,TRANSMIT_IN_FLIGHT,state,exchange_superseded_or_quarantined,ABANDONED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L930[AuthorityInteractionRecord.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_001,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,UNLINKED --oauth_begin--> LINK_INITIATED,UNLINKED,state,oauth_begin,LINK_INITIATED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L760[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_002,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,LINK_INITIATED --oauth_success--> AUTHORISED_ACTIVE,LINK_INITIATED,state,oauth_success,AUTHORISED_ACTIVE,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L761[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_003,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,AUTHORISED_ACTIVE --scope_reduced--> AUTHORISED_LIMITED,AUTHORISED_ACTIVE,state,scope_reduced,AUTHORISED_LIMITED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L762[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_004,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,AUTHORISED_ACTIVE --token_invalid--> TOKEN_INVALID,AUTHORISED_ACTIVE,state,token_invalid,TOKEN_INVALID,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L763[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_005,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,AUTHORISED_ACTIVE --authority_revoke--> REVOKED,AUTHORISED_ACTIVE,state,authority_revoke,REVOKED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L764[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_006,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,AUTHORISED_ACTIVE --expiry--> EXPIRED,AUTHORISED_ACTIVE,state,expiry,EXPIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L765[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_authority_link_lifecycle_state_edge_007,machine_authority_link_lifecycle_state,AuthorityLink,lifecycle_state,lifecycle,explicit_event_edge,TOKEN_INVALID --refresh_success--> AUTHORISED_ACTIVE,TOKEN_INVALID,state,refresh_success,AUTHORISED_ACTIVE,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L766[AuthorityLink.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_001,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,CANDIDATE --promotion_threshold_not_met--> PROVISIONAL,CANDIDATE,state,promotion_threshold_not_met,PROVISIONAL,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L364[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_002,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,CANDIDATE --promotion_threshold_met--> CANONICAL,CANDIDATE,state,promotion_threshold_met,CANONICAL,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L365[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_003,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,PROVISIONAL --stronger_support_added--> CANONICAL,PROVISIONAL,state,stronger_support_added,CANONICAL,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L366[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_004,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,CANONICAL --conflict_detected--> CONTESTED,CANONICAL,state,conflict_detected,CONTESTED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L367[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_005,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,CONTESTED --resolution_to_current_fact--> CANONICAL,CONTESTED,state,resolution_to_current_fact,CANONICAL,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L368[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_006,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,CANONICAL --replaced_by_newer_fact--> SUPERSEDED,CANONICAL,state,replaced_by_newer_fact,SUPERSEDED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L369[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_canonical_fact_promotion_state_edge_007,machine_canonical_fact_promotion_state,CanonicalFact,promotion_state,lifecycle,explicit_event_edge,SUPERSEDED --retention_expiry--> RETIRED,SUPERSEDED,state,retention_expiry,RETIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L370[CanonicalFact.promotion_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_001,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,DRAFT --publish_to_client--> READY_FOR_CLIENT,DRAFT,state,publish_to_client,READY_FOR_CLIENT,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1678[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_002,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,READY_FOR_CLIENT --client_opened--> VIEWED,READY_FOR_CLIENT,state,client_opened,VIEWED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1679[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_003,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,VIEWED --client_acknowledged--> ACKNOWLEDGED,VIEWED,state,client_acknowledged,ACKNOWLEDGED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1680[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_004,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,ACKNOWLEDGED --step_up_challenge_required--> STEP_UP_REQUIRED,ACKNOWLEDGED,state,step_up_challenge_required,STEP_UP_REQUIRED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1681[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_005,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,STEP_UP_REQUIRED --step_up_verified--> ACKNOWLEDGED,STEP_UP_REQUIRED,state,step_up_verified,ACKNOWLEDGED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1682[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_006,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,ACKNOWLEDGED --client_signed--> SIGNED,ACKNOWLEDGED,state,client_signed,SIGNED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1683[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_007,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,SIGNED --tenant_countersigned_or_release--> COUNTERSIGNED,SIGNED,state,tenant_countersigned_or_release,COUNTERSIGNED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1684[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
machine_client_approval_pack_lifecycle_state_edge_008,machine_client_approval_pack_lifecycle_state,ClientApprovalPack,lifecycle_state,lifecycle,explicit_event_edge,READY_FOR_CLIENT --superseded--> SUPERSEDED,READY_FOR_CLIENT,state,superseded,SUPERSEDED,state,Algorithm/state_machines.md,Algorithm/state_machines.md::L1685[ClientApprovalPack.lifecycle_state],Explicit event-driven transition extracted from the canonical state-machine source.
