edge_id,upstream_module,downstream_module,dependency_type,rationale,source_refs,shared_artifacts,run_phase_contexts
E0011,APPEND_MANIFEST_GATES,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S075` and `P15-S078`.,Algorithm/core_engine.md,,P15::P15-S075->P15-S078
E0012,APPROVAL_STATE,DECLARED_BASIS_ACK_STATE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S057` and `P15-S058`.,Algorithm/core_engine.md,,P15::P15-S057->P15-S058
E0013,APPROVE_FILING_PACKET,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S101` and `P15-S102`.,Algorithm/core_engine.md,,P15::P15-S101->P15-S102
E0014,ARTIFACT_CONTENT_HASH,DECLARED_EXCLUSIONS,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S102` and `P04-S103`.,Algorithm/core_engine.md,,P04::P04-S102->P04-S103
E0015,ARTIFACT_CONTRACT_GATE,DECLARED_EXCLUSIONS,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P05` between steps `P05-S017` and `P05-S018`.,Algorithm/core_engine.md,,P05::P05-S017->P05-S018
E0016,ASSEMBLE_TWIN_STATE_SNAPSHOT,COMPUTE_TWIN_DELTA_SET,artifact_availability_dependency,`ASSEMBLE_TWIN_STATE_SNAPSHOT` produces or persists `TwinStateSnapshot` consumed by `COMPUTE_TWIN_DELTA_SET`.,Algorithm/modules.md::L1477[ASSEMBLE_TWIN_STATE_SNAPSHOT_...],TwinStateSnapshot,
E0017,ASSESS_TRUST_INPUT_STATE,LOAD_OVERRIDES,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P11` between steps `P11-S005` and `P11-S005`.,Algorithm/core_engine.md,,P11::P11-S005->P11-S005
E0018,AUTHORITY_PREFLIGHT,EXECUTE_AUTHORITY_CALCULATION_FLOW,external_boundary_dependency,`EXECUTE_AUTHORITY_CALCULATION_FLOW` references `AUTHORITY_PREFLIGHT` in its module contract body.,Algorithm/modules.md::L1709[EXECUTE_AUTHORITY_CALCULATION_FLOW_...],,
E0019,AUTHORIZE,ACCESS_BLOCKED_RESPONSE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P01` between steps `P01-S002` and `P01-S003`.,Algorithm/core_engine.md,,P01::P01-S002->P01-S003
E0020,AUTHORIZE,APPROVAL_STATE,parameter_data_dependency,`APPROVAL_STATE` references `AUTHORIZE` in its module contract body.,Algorithm/modules.md::L1230[APPROVAL_STATE_...],,
E0021,AUTHORIZE,AUTHORITY_PREFLIGHT,parameter_data_dependency,`AUTHORITY_PREFLIGHT` references `AUTHORIZE` in its module contract body.,Algorithm/modules.md::L1746[AUTHORITY_PREFLIGHT_...],,
E0022,BEGIN_CHILD_MANIFEST,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P03` between steps `P03-S012` and `P03-S013`.,Algorithm/core_engine.md,,P03::P03-S012->P03-S013
E0023,BEGIN_MANIFEST,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P03` between steps `P03-S003` and `P03-S004`.,Algorithm/core_engine.md,,P03::P03-S003->P03-S004
E0024,BEGIN_SUBMISSION_RECORD,SUBMISSION_GATE,external_boundary_dependency,`BEGIN_SUBMISSION_RECORD` produces or persists `SubmissionRecord` consumed by `SUBMISSION_GATE`.,Algorithm/modules.md::L1860[BEGIN_SUBMISSION_RECORD_...],SubmissionRecord,
E0025,BEGIN_SUBMISSION_RECORD,TRANSITION_SUBMISSION_RECORD,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S051` and `P16-S052`.,Algorithm/core_engine.md,,P16::P16-S051->P16-S052
E0026,BUILD_ARTIFACT_SET,FREEZE_NORMALIZATION_CONTEXT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S090` and `P04-S091`.,Algorithm/core_engine.md,,P04::P04-S090->P04-S091
E0027,BUILD_AUTHORITY_REQUEST_ENVELOPE,SUBMISSION_GATE,external_boundary_dependency,`BUILD_AUTHORITY_REQUEST_ENVELOPE` produces or persists `SubmissionRecord` consumed by `SUBMISSION_GATE`.,Algorithm/modules.md::L1835[BUILD_AUTHORITY_REQUEST_ENVELOPE_...],SubmissionRecord,
E0028,BUILD_AUTHORITY_REQUEST_ENVELOPE,WRITE_ARTIFACT,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S022` and `P16-S023`.,Algorithm/core_engine.md,,P16::P16-S022->P16-S023
E0029,BUILD_DRIFT_DELTA_VECTOR,CLASSIFY_TEMPORAL_POSITION,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S012` and `P09-S013`. Adjacent in `RUN_ENGINE(...)` phase `P10` between steps `P10-S007` and `P10-S008`. Adjacent in `RUN_ENGINE(...)` phase `P17` between steps `P17-S005` and `P17-S006`.,Algorithm/core_engine.md,,P09::P09-S012->P09-S013; P10::P10-S007->P10-S008; P17::P17-S005->P17-S006
E0030,BUILD_FILING_PACKET,DECLARED_BASIS_ACK_STATE,parameter_data_dependency,`DECLARED_BASIS_ACK_STATE` references `BUILD_FILING_PACKET` in its module contract body.,Algorithm/modules.md::L1245[DECLARED_BASIS_ACK_STATE_...],,
E0031,BUILD_FILING_PACKET,DERIVE_REQUIRED_HUMAN_STEPS,parameter_data_dependency,`DERIVE_REQUIRED_HUMAN_STEPS` references `BUILD_FILING_PACKET` in its module contract body.,Algorithm/modules.md::L1253[DERIVE_REQUIRED_HUMAN_STEPS_...],,
E0032,BUILD_FILING_PACKET,FINALIZE_RUN_FAILURE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S055` and `P15-S056`.,Algorithm/core_engine.md,,P15::P15-S055->P15-S056
E0033,BUILD_LIVE_EXPERIENCE_FRAME,SELECT_PRIMARY_PROOF_BUNDLE_REF,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P13` between steps `P13-S024` and `P13-S030`.,Algorithm/core_engine.md,,P13::P13-S024->P13-S030
E0034,BUILD_PRESEAL_GATE_EVALUATION,PERSIST_PRESTART_TERMINAL_CONTEXT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P05` between steps `P05-S021` and `P05-S024`.,Algorithm/core_engine.md,,P05::P05-S021->P05-S024
E0035,BUILD_SNAPSHOT,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S092` and `P04-S093`.,Algorithm/core_engine.md,,P04::P04-S092->P04-S093
E0036,BUILD_TWIN_PORTFOLIO_SUMMARY,DERIVE_TWIN_READINESS,artifact_availability_dependency,`BUILD_TWIN_PORTFOLIO_SUMMARY` produces or persists `TwinMismatchSummary` consumed by `DERIVE_TWIN_READINESS`.,Algorithm/modules.md::L1565[BUILD_TWIN_PORTFOLIO_SUMMARY_...],TwinMismatchSummary,
E0037,BUILD_TWIN_VIEW,BUILD_TWIN_PORTFOLIO_SUMMARY,artifact_availability_dependency,`BUILD_TWIN_VIEW` produces or persists `TwinView` consumed by `BUILD_TWIN_PORTFOLIO_SUMMARY`. `BUILD_TWIN_VIEW` produces or persists `TwinMismatchSummary` consumed by `BUILD_TWIN_PORTFOLIO_SUMMARY`. `BUILD_TWIN_VIEW` produces or persists `TwinReadinessState` consumed by `BUILD_TWIN_PORTFOLIO_SUMMARY`.,Algorithm/modules.md::L1453[BUILD_TWIN_VIEW_...],TwinView; TwinMismatchSummary; TwinReadinessState,
E0038,BUILD_TWIN_VIEW,COMPUTE_TWIN_DELTA_SET,artifact_availability_dependency,`BUILD_TWIN_VIEW` produces or persists `TwinStateSnapshot` consumed by `COMPUTE_TWIN_DELTA_SET`. `BUILD_TWIN_VIEW` produces or persists `TwinTimeline` consumed by `COMPUTE_TWIN_DELTA_SET`.,Algorithm/modules.md::L1453[BUILD_TWIN_VIEW_...],TwinStateSnapshot; TwinTimeline,
E0039,BUILD_TWIN_VIEW,DERIVE_TWIN_READINESS,artifact_availability_dependency,`BUILD_TWIN_VIEW` produces or persists `TwinMismatchSummary` consumed by `DERIVE_TWIN_READINESS`. `BUILD_TWIN_VIEW` produces or persists `TwinDeltaArc` consumed by `DERIVE_TWIN_READINESS`.,Algorithm/modules.md::L1453[BUILD_TWIN_VIEW_...],TwinMismatchSummary; TwinDeltaArc,
E0040,BUILD_TWIN_VIEW,PLAN_TWIN_RECONCILIATION,artifact_availability_dependency,`BUILD_TWIN_VIEW` produces or persists `TwinDeltaArc` consumed by `PLAN_TWIN_RECONCILIATION`.,Algorithm/modules.md::L1453[BUILD_TWIN_VIEW_...],TwinDeltaArc,
E0041,BUILD_TWIN_VIEW,SUMMARIZE_TWIN_MISMATCHES,artifact_availability_dependency,`BUILD_TWIN_VIEW` produces or persists `TwinDeltaArc` consumed by `SUMMARIZE_TWIN_MISMATCHES`.,Algorithm/modules.md::L1453[BUILD_TWIN_VIEW_...],TwinDeltaArc,
E0042,CANONICALIZE_AUTHORITY_REQUEST,DERIVE_AUTHORITY_REQUEST_HASHES,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S020` and `P16-S021`.,Algorithm/core_engine.md,,P16::P16-S020->P16-S021
E0043,CHECK_TRUST_CURRENCY,LOAD_OVERRIDES,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S004` and `P15-S004`.,Algorithm/core_engine.md,,P15::P15-S004->P15-S004
E0044,CLAIM_MANIFEST_START,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P06` between steps `P06-S014` and `P06-S019`.,Algorithm/core_engine.md,,P06::P06-S014->P06-S019
E0045,CLASSIFY_TEMPORAL_POSITION,ANALYZE_RETROACTIVE_IMPACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S013` and `P09-S014`. Adjacent in `RUN_ENGINE(...)` phase `P10` between steps `P10-S008` and `P10-S009`. Adjacent in `RUN_ENGINE(...)` phase `P17` between steps `P17-S006` and `P17-S007`.,Algorithm/core_engine.md,,P09::P09-S013->P09-S014; P10::P10-S008->P10-S009; P17::P17-S006->P17-S007
E0046,COLLECTION_LATE_DATA_BINDINGS,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P07` between steps `P07-S032` and `P07-S033`.,Algorithm/core_engine.md,,P07::P07-S032->P07-S033
E0047,COMPARE_REPLAY_OUTCOMES,FINALIZE_TERMINAL_OUTCOME,parameter_data_dependency,`FINALIZE_TERMINAL_OUTCOME` references `COMPARE_REPLAY_OUTCOMES` in its module contract body.,Algorithm/modules.md::L772[FINALIZE_TERMINAL_OUTCOME_...],,
E0048,COMPUTE_EXECUTION_BASIS_HASH,UPDATE_MANIFEST_PRESEAL_CONTEXT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S114` and `P04-S115`.,Algorithm/core_engine.md,,P04::P04-S114->P04-S115
E0049,COMPUTE_SCOPE_FLAGS,VALIDATE_SCOPE_GRAMMAR,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P02` between steps `P02-S002` and `P02-S008`.,Algorithm/core_engine.md,,P02::P02-S002->P02-S008
E0050,COMPUTE_TWIN_DELTA_SET,DERIVE_TWIN_READINESS,artifact_availability_dependency,`COMPUTE_TWIN_DELTA_SET` produces or persists `TwinDeltaArc` consumed by `DERIVE_TWIN_READINESS`.,Algorithm/modules.md::L1500[COMPUTE_TWIN_DELTA_SET_...],TwinDeltaArc,
E0051,COMPUTE_TWIN_DELTA_SET,PLAN_TWIN_RECONCILIATION,artifact_availability_dependency,`COMPUTE_TWIN_DELTA_SET` produces or persists `TwinDeltaArc` consumed by `PLAN_TWIN_RECONCILIATION`.,Algorithm/modules.md::L1500[COMPUTE_TWIN_DELTA_SET_...],TwinDeltaArc,
E0052,COMPUTE_TWIN_DELTA_SET,SUMMARIZE_TWIN_MISMATCHES,artifact_availability_dependency,`COMPUTE_TWIN_DELTA_SET` produces or persists `TwinDeltaArc` consumed by `SUMMARIZE_TWIN_MISMATCHES`.,Algorithm/modules.md::L1500[COMPUTE_TWIN_DELTA_SET_...],TwinDeltaArc,
E0053,CONSTRUCT_AMENDMENT_BUNDLE,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S010` and `P16-S011`.,Algorithm/core_engine.md,,P16::P16-S010->P16-S011
E0054,CONTINUATION_ALLOWED,LOAD_AND_VALIDATE_PRIOR_MANIFEST_CONTEXT,parameter_data_dependency,`LOAD_AND_VALIDATE_PRIOR_MANIFEST_CONTEXT` references `CONTINUATION_ALLOWED` in its module contract body.,Algorithm/modules.md::L391[LOAD_AND_VALIDATE_PRIOR_MANIFEST_CONTEXT_...],,
E0055,CONTINUATION_REUSES_FROZEN_CONFIG,RESOLVE_CONFIG_FOR_REQUEST,parameter_data_dependency,`RESOLVE_CONFIG_FOR_REQUEST` references `CONTINUATION_REUSES_FROZEN_CONFIG` in its module contract body.,Algorithm/modules.md::L485[RESOLVE_CONFIG_FOR_REQUEST_...],,
E0056,DATA_QUALITY_GATE,BUILD_PRESEAL_GATE_EVALUATION,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P05` between steps `P05-S019` and `P05-S021`.,Algorithm/core_engine.md,,P05::P05-S019->P05-S021
E0057,DECIDE_MANIFEST_REUSE_STRATEGY,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P02` between steps `P02-S015` and `P02-S017`.,Algorithm/core_engine.md,,P02::P02-S015->P02-S017
E0058,DECLARED_BASIS_ACK_STATE,DERIVE_PACKET_NOTICE_STEPS,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S058` and `P15-S059`.,Algorithm/core_engine.md,,P15::P15-S058->P15-S059
E0059,DECLARED_EXCLUSIONS,DECLARE_MISSING_SOURCES,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S103` and `P04-S103`.,Algorithm/core_engine.md,,P04::P04-S103->P04-S103
E0060,DECLARED_EXCLUSIONS,INPUT_BOUNDARY_GATE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P05` between steps `P05-S018` and `P05-S018`.,Algorithm/core_engine.md,,P05::P05-S018->P05-S018
E0061,DECLARE_MISSING_SOURCES,DECLARE_STALE_SOURCES,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S103` and `P04-S103`.,Algorithm/core_engine.md,,P04::P04-S103->P04-S103
E0062,DECLARE_STALE_SOURCES,FREEZE_INPUT_SET,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P04` between steps `P04-S103` and `P04-S103`.,Algorithm/core_engine.md,,P04::P04-S103->P04-S103
E0063,DERIVE_ATTENTION_POLICY,BUILD_DETAIL_DRAWER_STATE,parameter_data_dependency,`BUILD_DETAIL_DRAWER_STATE` references `DERIVE_ATTENTION_POLICY` in its module contract body.,Algorithm/modules.md::L2597[BUILD_DETAIL_DRAWER_STATE_...],,
E0064,DERIVE_AUTHORITY_REQUEST_HASHES,BUILD_AUTHORITY_REQUEST_ENVELOPE,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S021` and `P16-S022`.,Algorithm/core_engine.md,,P16::P16-S021->P16-S022
E0065,DERIVE_PACKET_NOTICE_STEPS,DERIVE_REQUIRED_HUMAN_STEPS,parameter_data_dependency,`DERIVE_REQUIRED_HUMAN_STEPS` references `DERIVE_PACKET_NOTICE_STEPS` in its module contract body.,Algorithm/modules.md::L1253[DERIVE_REQUIRED_HUMAN_STEPS_...],,
E0066,DERIVE_PACKET_NOTICE_STEPS,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S059` and `P15-S067`.,Algorithm/core_engine.md,,P15::P15-S059->P15-S067
E0067,DERIVE_REQUIRED_HUMAN_STEPS,ASSESS_TRUST_INPUT_STATE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P11` between steps `P11-S004` and `P11-S005`.,Algorithm/core_engine.md,,P11::P11-S004->P11-S005
E0068,DERIVE_TWIN_READINESS,BUILD_TWIN_PORTFOLIO_SUMMARY,artifact_availability_dependency,`DERIVE_TWIN_READINESS` produces or persists `TwinMismatchSummary` consumed by `BUILD_TWIN_PORTFOLIO_SUMMARY`. `DERIVE_TWIN_READINESS` produces or persists `TwinReadinessState` consumed by `BUILD_TWIN_PORTFOLIO_SUMMARY`.,Algorithm/modules.md::L1535[DERIVE_TWIN_READINESS_...],TwinMismatchSummary; TwinReadinessState,
E0069,DERIVE_TWIN_READINESS,PLAN_TWIN_RECONCILIATION,artifact_availability_dependency,`DERIVE_TWIN_READINESS` produces or persists `TwinDeltaArc` consumed by `PLAN_TWIN_RECONCILIATION`.,Algorithm/modules.md::L1535[DERIVE_TWIN_READINESS_...],TwinDeltaArc,
E0070,DERIVE_TWIN_READINESS,SUMMARIZE_TWIN_MISMATCHES,artifact_availability_dependency,`DERIVE_TWIN_READINESS` produces or persists `TwinDeltaArc` consumed by `SUMMARIZE_TWIN_MISMATCHES`.,Algorithm/modules.md::L1535[DERIVE_TWIN_READINESS_...],TwinDeltaArc,
E0071,DETECT_DRIFT,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S017` and `P09-S018`. Adjacent in `RUN_ENGINE(...)` phase `P10` between steps `P10-S012` and `P10-S013`. Adjacent in `RUN_ENGINE(...)` phase `P17` between steps `P17-S010` and `P17-S011`.,Algorithm/core_engine.md,,P09::P09-S017->P09-S018; P10::P10-S012->P10-S013; P17::P17-S010->P17-S011
E0072,EMIT_WORKFLOW_ITEM,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S079` and `P16-S081`. Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S084` and `P16-S086`. Adjacent in `RUN_ENGINE(...)` phase `P17` between steps `P17-S027` and `P17-S029`.,Algorithm/core_engine.md,,P16::P16-S079->P16-S081; P16::P16-S084->P16-S086; P17::P17-S027->P17-S029
E0073,ENFORCE_ACCESS_SCOPE_AND_MASKING,VALIDATE_EFFECTIVE_SCOPE_BINDING,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P01` between steps `P01-S005` and `P01-S006`.,Algorithm/core_engine.md,,P01::P01-S005->P01-S006
E0074,EVALUATE_AMENDMENT_ELIGIBILITY,UPSERT_AMENDMENT_CASE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S026` and `P09-S035`. Adjacent in `RUN_ENGINE(...)` phase `P10` between steps `P10-S021` and `P10-S022`. Adjacent in `RUN_ENGINE(...)` phase `P17` between steps `P17-S019` and `P17-S020`.,Algorithm/core_engine.md,,P09::P09-S026->P09-S035; P10::P10-S021->P10-S022; P17::P17-S019->P17-S020
E0075,EVALUATE_PARITY,WRITE_ARTIFACT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S068` and `P09-S069`.,Algorithm/core_engine.md,,P09::P09-S068->P09-S069
E0076,EXECUTE_AUTHORITY_CALCULATION_FLOW,AUTHORITY_PREFLIGHT,external_boundary_dependency,`AUTHORITY_PREFLIGHT` references `EXECUTE_AUTHORITY_CALCULATION_FLOW` in its module contract body.,Algorithm/modules.md::L1746[AUTHORITY_PREFLIGHT_...],,
E0077,EXECUTE_AUTHORITY_CALCULATION_FLOW,SELECT_DRIFT_BASELINE,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S005` and `P09-S009`.,Algorithm/core_engine.md,,P09::P09-S005->P09-S009
E0078,EXECUTE_AUTHORITY_CALCULATION_FLOW,UPSERT_AMENDMENT_CASE,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P14` between steps `P14-S031` and `P14-S040`.,Algorithm/core_engine.md,,P14::P14-S031->P14-S040
E0079,EXECUTE_AUTHORITY_CALCULATION_FLOW,UPSERT_FILING_CASE,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S035` and `P15-S036`.,Algorithm/core_engine.md,,P15::P15-S035->P15-S036
E0080,EXISTING_SUBMISSIONS,SUBMISSION_GATE,artifact_availability_dependency,Adjacent in `RUN_ENGINE(...)` phase `P16` between steps `P16-S027` and `P16-S027`. `EXISTING_SUBMISSIONS` produces or persists `SubmissionRecord` consumed by `SUBMISSION_GATE`.,Algorithm/core_engine.md; Algorithm/modules.md::L1882[EXISTING_SUBMISSIONS_...],SubmissionRecord,P16::P16-S027->P16-S027
E0081,FILING_GATE,AMENDMENT_GATE,external_boundary_dependency,`AMENDMENT_GATE` references `FILING_GATE` in its module contract body.,Algorithm/modules.md::L2246[AMENDMENT_GATE_...],,
E0082,FILING_GATE,EXECUTE_AUTHORITY_CALCULATION_FLOW,external_boundary_dependency,`EXECUTE_AUTHORITY_CALCULATION_FLOW` references `FILING_GATE` in its module contract body.,Algorithm/modules.md::L1709[EXECUTE_AUTHORITY_CALCULATION_FLOW_...],,
E0083,FILING_GATE,LOAD_OVERRIDES,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P09` between steps `P09-S057` and `P09-S057`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S006` and `P15-S006`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S021` and `P15-S021`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S039` and `P15-S039`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S072` and `P15-S072`.,Algorithm/core_engine.md,,P09::P09-S057->P09-S057; P15::P15-S006->P15-S006; P15::P15-S021->P15-S021; P15::P15-S039->P15-S039; P15::P15-S072->P15-S072
E0084,FILING_GATE,SYNTHESIZE_TRUST,parameter_data_dependency,`SYNTHESIZE_TRUST` references `FILING_GATE` in its module contract body.,Algorithm/modules.md::L1337[SYNTHESIZE_TRUST_...],,
E0085,FINALIZE_RUN_FAILURE,APPROVAL_STATE,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S056` and `P15-S057`.,Algorithm/core_engine.md,,P15::P15-S056->P15-S057
E0086,FINALIZE_RUN_FAILURE,MANIFEST_GATE,external_boundary_dependency,Adjacent in `RUN_ENGINE(...)` phase `P05` between steps `P05-S015` and `P05-S016`.,Algorithm/core_engine.md,,P05::P05-S015->P05-S016
E0087,FINALIZE_RUN_FAILURE,RECORD_EVENT,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P07` between steps `P07-S015` and `P07-S021`.,Algorithm/core_engine.md,,P07::P07-S015->P07-S021
E0088,FINALIZE_RUN_FAILURE,TRANSITION_MANIFEST,state_transition_dependency,Adjacent in `RUN_ENGINE(...)` phase `P05` between steps `P05-S009` and `P05-S013`.,Algorithm/core_engine.md,,P05::P05-S009->P05-S013
E0089,FINALIZE_RUN_FAILURE,UPDATE_MANIFEST_OUTPUTS,state_transition_dependency,Adjacent in `RUN_ENGINE(...)` phase `P10` between steps `P10-S028` and `P10-S029`. Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S095` and `P15-S100`.,Algorithm/core_engine.md,,P10::P10-S028->P10-S029; P15::P15-S095->P15-S100
E0090,FINALIZE_TERMINAL_OUTCOME,BUILD_FILING_PACKET,control_flow_dependency,Adjacent in `RUN_ENGINE(...)` phase `P15` between steps `P15-S051` and `P15-S055`.,Algorithm/core_engine.md,,P15::P15-S051->P15-S055
