term_id,canonical_term,term_category,definition,authoritative_source_refs,machine_field_names,canonical_contract_names,allowed_aliases,prohibited_aliases,related_terms,visibility_or_audience_notes,drift_risk_level,notes,source_heading_or_logical_block
TERM_CANONICAL_FACT,Canonical Fact,evidence,"Normalized representation of a domain-specific statement (income event, expense, allowance, adjustment).",Algorithm/canonical_fact_promotion_and_partition_isolation_contract.md | Algorithm/canonical_fact_promotion_and_partition_isolation_contract.md#canonical-fact-promotion-and-partition-isolation-contract | Algorithm/canonical_fact_promotion_and_partition_isolation_contract.md#canonical-facts | Algorithm/canonical_source_and_evidence_taxonomy.md#4-2-core-objects | Algorithm/canonical_source_and_evidence_taxonomy.md#4-4-canonical-fact-families | Algorithm/glossary.md::L25[canonical-fact],canonical_fact,CanonicalFact,Canonical Fact | CanonicalFact,derived fact | evidence fact,TERM_CANDIDATE_FACT | TERM_DERIVED_VALUE | TERM_EVIDENCE_ITEM | TERM_SOURCE_RECORD,,high,,Core engine terms
TERM_CLIENT,Client,core_engine,A taxpayer or entity managed under a tenant.,Algorithm/data_model.md::L69[Client] | Algorithm/glossary.md::L16[client],client,Client,Client,,TERM_TENANT,,low,,Core engine terms
TERM_CLIENTPORTALWORKSPACE,ClientPortalWorkspace,shell_route,Authoritative route-visible read model named in README Shared Spine Vocabulary.,Algorithm/README.md#shared-spine-vocabulary | Algorithm/cache_isolation_and_secure_reuse_contract.md | Algorithm/collaboration_workspace_contract.md | Algorithm/compute_parity_and_trust_formulas.md | Algorithm/data_model.md::L1664[ClientPortalWorkspace],client_portal_workspace,ClientPortalWorkspace,ClientPortalWorkspace,,,,high,,Shared Spine Vocabulary
TERM_CLIENT_PORTAL_SHELL,CLIENT_PORTAL_SHELL,shell_route,Canonical shell-family enum value for customer/client portal shells.,Algorithm/README.md#shared-spine-vocabulary,,,CLIENT_PORTAL_SHELL,,TERM_CLIENT | TERM_SHELL_FAMILY,Closed shared-spine vocabulary. Do not rename or paraphrase when serializing shell ownership.,high,,Shared Spine Vocabulary
TERM_COLLABORATION_QUEUE_PROJECTION,Collaboration Queue Projection,collaboration,"The shared collaboration queue-truth envelope attached to inbox rows, mounted workspaces, badge-bearing stream events, and notifications. It freezes split lane unread counts, drawer badge mirrors, the canonical inbox sort basis, deferred focus-lock posture, and which activity lane a notification may lawfully reopen so clients do not infer reorder, removal, or badge meaning from transport arrival order.",Algorithm/glossary.md::L337[collaboration-queue-projection],collaboration_queue_projection_contract | queue_projection,CollaborationQueueProjectionContract,Collaboration Queue Projection | queue_projection,,TERM_CLIENT | TERM_VISIBILITY_BOUNDARY_CLASSES,Customer-safe or customer-visible wording must not redefine internal operator semantics.,medium,,"Shell, route, and collaboration terms"
TERM_COLLABORATION_ROUTING_CONTRACT,Collaboration Routing Contract,collaboration,"The persisted per-item quantitative routing contract attached to `WorkflowItem` and every collaboration `queue_projection`. It freezes the governing routing-profile hash, canonical sort tuple, assignment and escalation scores, queue pressure, recommendation posture, ranked explanation codes, and draft/focus continuity guards so browser, native, stream, notification, and automation consumers reuse one routing decision instead of recomputing from local clocks, badges, or partial state.",Algorithm/compute_parity_and_trust_formulas.md | Algorithm/glossary.md::L343[collaboration-routing-contract],collaboration_routing_contract | queue_projection | routing_contract,CollaborationRoutingContract | WorkflowItem | routing_contract,Collaboration Routing Contract | CollaborationRoutingContract | routing_contract,,TERM_COLLABORATION_QUEUE_PROJECTION | TERM_WORK_ITEM_WORKFLOW_ITEM,,medium,,"Shell, route, and collaboration terms"
TERM_COMMAND_TRUTH_BOUNDARY_CONTRACT,Command Truth Boundary Contract,shell_route,"The shared FE-42 / BE-42 boundary contract attached to command envelopes, command-side durable records, boundary receipts, and read-side projections. It freezes whether an artifact is a `COMMAND_REQUEST`, `COMMAND_SIDE_AUTHORITY`, `BOUNDARY_RECEIPT`, or `READ_SIDE_PROJECTION`, together with the only lawful authoritative-source policy, projection-input policy, durable-writeback policy, recovery basis policy, durable record families, and observable projection families for that role. Its job is to prevent command legality, retry, replay, or recovery from silently depending on `DecisionBundle`, `ExperienceDelta`, workspace snapshots, portal caches, or other read-side surfaces as if they were durable truth.",Algorithm/amendment_and_drift_semantics.md | Algorithm/authority_interaction_protocol.md | Algorithm/collaboration_workspace_contract.md | Algorithm/glossary.md::L505[command-truth-boundary-contract],command_truth_boundary_contract | truth_boundary_contract,CommandTruthBoundaryContract | DecisionBundle | ExperienceDelta | truth_boundary_contract,Command Truth Boundary Contract | CommandTruthBoundaryContract | truth_boundary_contract,,TERM_AUTHORITY | TERM_DECISION_BUNDLE | TERM_SNAPSHOT | TERM_WORKSPACESNAPSHOT,Audience or visibility-sensitive term. Preserve the exact projection boundary named in the corpus.,high,,"Shell, route, and collaboration terms"
TERM_CONFIG_INHERITANCE_MODE,Config Inheritance Mode,lineage,"The canonical record of whether a child manifest inherited the parent frozen config exactly (`REPLAY_EXACT`, `RECOVERY_EXACT`, `HISTORICAL_EXPLICIT`) or resolved fresh child config (`FRESH_CHILD_RESOLUTION`). `null` means no child manifest was created, so there was no inheritance decision to persist.",Algorithm/glossary.md::L72[config-inheritance-mode],config_inheritance_mode | null,,Config Inheritance Mode | config_inheritance_mode,,,,high,,Execution lineage and identity terms
TERM_CONNECTOR,Connector,observability,"A controlled integration to a data provider (authority, bank, ledger, document inbox).",Algorithm/glossary.md::L20[connector],,,Connector,,TERM_AUTHORITY | TERM_AUTHORITY_OF_RECORD | TERM_VISIBILITY_BOUNDARY_CLASSES,Authority-facing terminology must preserve external authority-of-record semantics.,medium,,Core engine terms
TERM_CONSTRAINT_COVERAGE_INDEX,Constraint Coverage Index,shell_route,"The human-readable summary of the live constraint traceability register. It summarizes active named constraints and critical constraint families, but it does not act as a second findings ledger or a home for stale `could still` defect notes.",Algorithm/constraint_coverage_index.md | Algorithm/glossary.md::L240[constraint-coverage-index],,constraint coverage index | constraint_coverage_index.md,Constraint Coverage Index | constraint_coverage_index.md,,TERM_CONSTRAINT_TRACEABILITY_REGISTER,,high,,"Shell, route, and collaboration terms"
TERM_CONSTRAINT_TRACEABILITY_REGISTER,Constraint Traceability Register,observability,"The machine-checkable live constraint map for the blueprint corpus. Each entry names one active cross-document constraint, its architectural rationale, authoritative refs, validator and forensic-guard refs, downstream read-surface propagation refs, and scenario/vector anchors. Historical cleanup notes do not live here.",Algorithm/README.md | Algorithm/architecture_coherence_guardrails.md | Algorithm/constraint_coverage_index.md | Algorithm/glossary.md::L234[constraint-traceability-register] | Algorithm/implementation_conventions.md,constraint_traceability_register,ConstraintTraceabilityRegister | constraint_traceability_register.json,Constraint Traceability Register | constraint_traceability_register.json,,,,high,"This is the live machine-readable constraint register, not a historical findings ledger.","Shell, route, and collaboration terms"
TERM_CONTINUATION_BASIS,Continuation Basis,lineage,"The typed lineage reason explaining why the engine may reuse an existing manifest, return a prior terminal bundle, create a replay or recovery child, or spawn another continuation child. It is structured branch truth, not free-form commentary. Persisted manifests SHALL use the machine-stable vocabulary `{NEW_MANIFEST, REPLAY_CHILD, RECOVERY_CHILD, CONTINUATION_CHILD, NEW_REQUEST_CHILD}`.",Algorithm/glossary.md::L66[continuation-basis],continuation_basis,,Continuation Basis | continuation_basis,,TERM_MANIFEST_BRANCH_DECISION | TERM_RUN_MANIFEST,,high,,Execution lineage and identity terms
TERM_CROSS_DEVICE_CONTINUITY_CONTRACT,Cross-Device Continuity Contract,shell_route,"The grouped same-object continuity envelope for route-visible shells, notification-open targets, and native scenes. It freezes the mounted object ref, route or scene identity, parent return anchor, dominant-action posture, grouped guard hashes, compatibility-basis class, visibility/session compatibility refs, and allowed embodiments so refresh, resize, reconnect, deep-link open, and native restoration reuse one backend-authored continuity basis.",Algorithm/admin_governance_console_architecture.md | Algorithm/collaboration_workspace_contract.md | Algorithm/cross_device_continuity_and_restoration_contract.md | Algorithm/customer_client_portal_experience_contract.md | Algorithm/glossary.md::L132[cross-device-continuity-contract],cross_device_continuity_contract,CrossDeviceContinuityContract | cross_device_continuity_contract,Cross-Device Continuity Contract | CrossDeviceContinuityContract | cross_device_continuity_contract,,,,high,,"Shell, route, and collaboration terms"
TERM_CUSTOMERREQUESTLISTSNAPSHOT,CustomerRequestListSnapshot,shell_route,Authoritative route-visible read model named in README Shared Spine Vocabulary.,Algorithm/README.md#shared-spine-vocabulary | Algorithm/collaboration_workspace_contract.md | Algorithm/collaboration_workspace_contract.md#customerrequestlistsnapshot | Algorithm/customer_client_portal_experience_contract.md | Algorithm/data_model.md,customer_request_list_snapshot,CustomerRequestListSnapshot,CustomerRequestListSnapshot,,,,high,,Shared Spine Vocabulary
