dependency_key,classification,capability_category,source_file,source_heading_or_logical_block,source_ref,rationale
MALWARE_SCANNING_AND_QUARANTINE_CAPABILITY,ALGORITHM_EXPLICIT,DOCUMENT_PROCESSING,PROMPT/Checklist.md,pc_0047 phase_01_seq_047_browser_automation_create_malware_scanning_quarantine_service_or_record_self_host_decision,PROMPT/Checklist.md::L82[pc_0047],The roadmap requires either a scanning/quarantine service or a recorded self-host choice.
MALWARE_SCANNING_AND_QUARANTINE_CAPABILITY,ALGORITHM_EXPLICIT,DOCUMENT_PROCESSING,Algorithm/customer_client_portal_experience_contract.md,Secure document-upload flow,Algorithm/customer_client_portal_experience_contract.md::L293[Secure_document-upload_flow],"The portal contract requires explicit transfer, scan, validation, acceptance, rejection, and quarantine states."
MALWARE_SCANNING_AND_QUARANTINE_CAPABILITY,ALGORITHM_EXPLICIT,DOCUMENT_PROCESSING,Algorithm/collaboration_workspace_contract.md,8.2 Upload staging,Algorithm/collaboration_workspace_contract.md::L1673[8.2_Upload_staging],Staged uploads remain non-downloadable until malware scanning and visibility validation succeed.
SECRETS_MANAGER_OR_TOKEN_VAULT,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L27[1._Reference_runtime_topology],The runtime topology names token vault and KMS/HSM as first-class components.
SECRETS_MANAGER_OR_TOKEN_VAULT,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/security_and_runtime_hardening_contract.md,"3. Secret, key, and token handling",Algorithm/security_and_runtime_hardening_contract.md::L50[3._Secret_key_and_token_handling],Raw authority tokens must live only in a governed token vault or secret store.
KMS_HSM_ROOT_OF_TRUST,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L27[1._Reference_runtime_topology],The topology explicitly names KMS/HSM alongside the token vault boundary.
KMS_HSM_ROOT_OF_TRUST,ALGORITHM_EXPLICIT,SECRETS_AND_KEYS,Algorithm/security_and_runtime_hardening_contract.md,"3. Secret, key, and token handling",Algorithm/security_and_runtime_hardening_contract.md::L50[3._Secret_key_and_token_handling],Envelope keys and secret protection are rooted in KMS/HSM master-key material.
PRIMARY_TRANSACTIONAL_CONTROL_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L22[1._Reference_runtime_topology],The runtime topology names a primary control store as the durable truth boundary.
PRIMARY_TRANSACTIONAL_CONTROL_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/deployment_and_resilience_contract.md,3. Schema and datastore migration rules,Algorithm/deployment_and_resilience_contract.md::L72[3._Schema_and_datastore_migration_rules],Migration rules assume a transactional primary store with governed schema progression.
APPEND_ONLY_AUDIT_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L24[1._Reference_runtime_topology],The topology names an append-only audit store as a distinct component.
APPEND_ONLY_AUDIT_STORE,ALGORITHM_EXPLICIT,DATASTORE,Algorithm/observability_and_audit_contract.md,14.10 Audit versus telemetry retention,Algorithm/observability_and_audit_contract.md::L537[14.10_Audit_versus_telemetry_retention],Audit history must remain distinct from sampled telemetry and therefore needs its own governed store.
OBJECT_STORAGE_AND_QUARANTINE_BUCKETS,ALGORITHM_EXPLICIT,STORAGE,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L25[1._Reference_runtime_topology],The topology explicitly names an object store for retained artifacts and evidence.
OBJECT_STORAGE_AND_QUARANTINE_BUCKETS,ALGORITHM_EXPLICIT,STORAGE,Algorithm/collaboration_workspace_contract.md,8.2 Upload staging,Algorithm/collaboration_workspace_contract.md::L1673[8.2_Upload_staging],Upload staging and quarantine require explicit storage segregation before publication.
QUEUE_OR_BROKER_COORDINATION_FABRIC,ALGORITHM_EXPLICIT,MESSAGE_COORDINATION,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L26[1._Reference_runtime_topology],The topology explicitly names a queue or broker for delivery fabric and worker coordination.
QUEUE_OR_BROKER_COORDINATION_FABRIC,ALGORITHM_EXPLICIT,MESSAGE_COORDINATION,Algorithm/security_and_runtime_hardening_contract.md,5. Service-to-service and network hardening,Algorithm/security_and_runtime_hardening_contract.md::L99[5._Service-to-service_and_network_hardening],Inbound callbacks and worker results enter through transactional inbox and dedupe layers before mutation.
CACHE_AND_STREAM_RESUME_STORE,ALGORITHM_EXPLICIT,CACHE_AND_RESUME,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L9[1._Reference_runtime_topology],The topology includes a read-side projector or stream broker plus disposable caches and rebuildable read state.
CACHE_AND_STREAM_RESUME_STORE,ALGORITHM_EXPLICIT,CACHE_AND_RESUME,Algorithm/security_and_runtime_hardening_contract.md,"6. Data protection, privacy, and cache safety",Algorithm/security_and_runtime_hardening_contract.md::L135[6._Data_protection_privacy_and_cache_safety],Cache and resume state are governed security boundaries rather than generic performance-only features.
OPENTELEMETRY_COLLECTION_AND_BACKEND,ALGORITHM_EXPLICIT,OBSERVABILITY,Algorithm/observability_and_audit_contract.md,14.2 Separation of concerns,Algorithm/observability_and_audit_contract.md::L24[14.2_Separation_of_concerns],"The signal model explicitly separates audit evidence from operational, security, and privacy telemetry."
OPENTELEMETRY_COLLECTION_AND_BACKEND,ALGORITHM_EXPLICIT,OBSERVABILITY,Algorithm/observability_and_audit_contract.md,14.8 Metric contract,Algorithm/observability_and_audit_contract.md::L420[14.8_Metric_contract],"Metric, trace, and log families are mandatory runtime capabilities even though product choice is open."
CONTAINER_REGISTRY_BUILD_SIGNING_AND_ATTESTATION,ALGORITHM_EXPLICIT,SUPPLY_CHAIN,Algorithm/security_and_runtime_hardening_contract.md,7. Supply-chain and build integrity,Algorithm/security_and_runtime_hardening_contract.md::L143[7._Supply-chain_and_build_integrity],"Supply-chain integrity explicitly requires SBOMs, vulnerability scanning, signed build outputs, and provenance checks."
CONTAINER_REGISTRY_BUILD_SIGNING_AND_ATTESTATION,ALGORITHM_EXPLICIT,SUPPLY_CHAIN,Algorithm/deployment_and_resilience_contract.md,2. Promotion pipeline,Algorithm/deployment_and_resilience_contract.md::L44[2._Promotion_pipeline],"The promotion pipeline builds, signs, and verifies release artifacts before promotion."
DNS_TLS_WAF_AND_EDGE_DELIVERY,ROADMAP_IMPLIED,NETWORK_EDGE,PROMPT/Checklist.md,pc_0056 phase_01_seq_056_provision_dns_tls_waf_and_edge_delivery_configuration,PROMPT/Checklist.md::L91[pc_0056],"The roadmap packages DNS, TLS, WAF, and edge delivery as a single provisioning step."
DNS_TLS_WAF_AND_EDGE_DELIVERY,ROADMAP_IMPLIED,NETWORK_EDGE,Algorithm/security_and_runtime_hardening_contract.md,"4. Browser, native-client, API, and transport hardening",Algorithm/security_and_runtime_hardening_contract.md::L78[4._Browser_native-client_API_and_transport_hardening],"TLS for all external traffic is mandatory, and stable ingress is a prerequisite for provider callbacks and identity flows."
CI_CD_RUNNERS_ENV_SECRETS_AND_EPHEMERAL_PREVIEW,ROADMAP_IMPLIED,DELIVERY_AUTOMATION,PROMPT/Checklist.md,pc_0057 phase_01_seq_057_provision_ci_cd_runners_environment_secrets_and_ephemeral_preview_accounts,PROMPT/Checklist.md::L92[pc_0057],"The roadmap explicitly provisions CI/CD runners, environment secrets, and preview accounts."
CI_CD_RUNNERS_ENV_SECRETS_AND_EPHEMERAL_PREVIEW,ROADMAP_IMPLIED,DELIVERY_AUTOMATION,Algorithm/deployment_and_resilience_contract.md,2. Promotion pipeline,Algorithm/deployment_and_resilience_contract.md::L44[2._Promotion_pipeline],Promotion requires repeated gated environments and reliable automation execution.
CI_CD_RUNNERS_ENV_SECRETS_AND_EPHEMERAL_PREVIEW,ROADMAP_IMPLIED,DELIVERY_AUTOMATION,Algorithm/security_and_runtime_hardening_contract.md,8. Operational security release gates,Algorithm/security_and_runtime_hardening_contract.md::L161[8._Operational_security_release_gates],Release admission depends on automated policy checks and secret-hygiene enforcement.
MACOS_CODE_SIGNING_NOTARIZATION_AND_KEYCHAIN_TRUST_CHAIN,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/macos_native_operator_workspace_blueprint.md,11. Security and runtime posture for the desktop client,Algorithm/macos_native_operator_workspace_blueprint.md::L473[11._Security_and_runtime_posture_for_the_desktop_client],"The native blueprint requires code signing, notarization, hardened runtime, and Keychain-only credential posture."
MACOS_CODE_SIGNING_NOTARIZATION_AND_KEYCHAIN_TRUST_CHAIN,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/security_and_runtime_hardening_contract.md,8. Operational security release gates,Algorithm/security_and_runtime_hardening_contract.md::L161[8._Operational_security_release_gates],"No production desktop client may ship without signature, notarization, and hardened-runtime policy."
MACOS_CODE_SIGNING_NOTARIZATION_AND_KEYCHAIN_TRUST_CHAIN,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/deployment_and_resilience_contract.md,2. Promotion pipeline,Algorithm/deployment_and_resilience_contract.md::L44[2._Promotion_pipeline],BuildArtifact promotion explicitly includes signing and notarization when the desktop app ships.
DESKTOP_RELEASE_AND_UPDATE_CHANNEL,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/deployment_and_resilience_contract.md,1. Reference runtime topology,Algorithm/deployment_and_resilience_contract.md::L28[1._Reference_runtime_topology],The deployment topology explicitly names the desktop release/update channel as a runtime component.
DESKTOP_RELEASE_AND_UPDATE_CHANNEL,ALGORITHM_EXPLICIT,NATIVE_DELIVERY,Algorithm/macos_native_operator_workspace_blueprint.md,13. Delivery sequencing,Algorithm/macos_native_operator_workspace_blueprint.md::L516[13._Delivery_sequencing],Delivery sequencing assumes a real signed-distribution mechanism rather than ad hoc local builds.
INTERNAL_NORTHBOUND_COMMAND_AND_SESSION_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,2. Required northbound surfaces,Algorithm/northbound_api_and_session_contract.md::L43[2._Required_northbound_surfaces],The contract defines these APIs as internal system surfaces even though they are exposed over HTTP.
INTERNAL_NORTHBOUND_COMMAND_AND_SESSION_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,"8. Session, browser, and native-client rules",Algorithm/northbound_api_and_session_contract.md::L709[8._Session_browser_and_native-client_rules],"Session and browser-state rules are part of the internal product contract, not an external service dependency."
INTERNAL_PRODUCT_READ_MODELS_STREAMS_AND_UPLOAD_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,2. Required northbound surfaces,Algorithm/northbound_api_and_session_contract.md::L43[2._Required_northbound_surfaces],"Admin, portal, and collaboration reads remain internal product APIs rather than third-party services."
INTERNAL_PRODUCT_READ_MODELS_STREAMS_AND_UPLOAD_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/collaboration_workspace_contract.md,8.2 Upload staging,Algorithm/collaboration_workspace_contract.md::L1673[8.2_Upload_staging],Upload staging uses internal session APIs layered over storage and scanning dependencies.
INTERNAL_PRODUCT_READ_MODELS_STREAMS_AND_UPLOAD_APIS,INTERNAL_ONLY,INTERNAL_PRODUCT_API,Algorithm/northbound_api_and_session_contract.md,7. Stream and reconnect rules,Algorithm/northbound_api_and_session_contract.md::L646[7._Stream_and_reconnect_rules],"Stream and resume semantics belong to the product API surface, not the external dependency list."
