boundary_requirement_id,capability_name,zone,boundary_rule_family,authoritative_source_refs,owning_objects_or_contracts,triggering_actors,required_inputs,produced_outputs_or_artifacts,lawful_engine_relationship,security_privacy_implications,observability_implications,degraded_or_failure_behavior,forbidden_shortcuts_or_false_equivalences,downstream_phase_implications,notes
BR_011,Evidence-linked provenance graph and proof binding,inside_core_engine,explainability_for_engine_created_states,Algorithm/core_engine.md#summary-technical-solution | Algorithm/invention_and_system_boundary.md#7-provenance-and-twin-formation | Algorithm/invention_and_system_boundary.md#boundary-rule-7-the-engine-owns-evidence-linked-explainability-for-all-states-it-creates,DecisionBundle | EvidenceGraph | ProofBundle | audit and provenance contract,compute service | graph service,authority acknowledgement refs | canonical facts | config refs | override refs | rule refs,EvidenceGraph | ProofBundle | traceable artifact bindings,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",dropping override or authority lineage from proof paths | opaque output with no evidence path | render-time joins standing in for persisted provenance,"Graph, proof, and audit implementations must share durable artifact identity rather than reconstructing explanations from UI state. | Retention and replay modules must preserve or tombstone decisive proof-path segments explicitly.",The inventive center includes the evidence-linked provenance closure that makes each material output defensible and replayable.
BR_012,TwinView and cross-source delta formation,inside_core_engine,twin_view_and_delta_exposure,Algorithm/core_engine.md#summary-technical-solution | Algorithm/invention_and_system_boundary.md#7-provenance-and-twin-formation,AuthorityComparisonFact | DecisionBundle | TwinView,compute service | graph service,authority references | canonical facts | internal compute results,TwinView | delta summaries | mismatch clusters,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",discarding provenance links when presenting deltas | flattening conflict detail into one status badge | letting clients compute their own unofficial twin from raw projections,"Later portal and governance read models should consume TwinView semantics instead of redefining mismatch posture locally. | Twin and reconciliation work must be durable engine artifacts, not only a presentation layer convenience.",The twin representation is an engine-authored artifact that exposes cross-source deltas without surrendering provenance.
BR_013,"Workflow planning from trust, parity, risk, data quality, and drift",inside_core_engine,workflow_planning,Algorithm/core_engine.md#summary-technical-solution | Algorithm/data_model.md#workflowitem | Algorithm/invention_and_system_boundary.md#8-workflow-planning,DecisionBundle | TrustSummary | TwinView | WorkflowItem,approver | reviewer | workflow service,TrustSummary | data health | drift posture | parity results | risk signals,WorkflowItem | review or remediation posture | routing hints,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",allowing notification delivery state to redefine workflow legality | generic task generation detached from evidence and trust posture | marking workflow complete as a substitute for authority truth,"Read-side inbox and portal views must consume workflow projections without promoting them above engine-owned legal posture. | Workflow modules must remain subordinate to trust, authority truth, and drift evidence rather than becoming an independent truth system.","Inside the engine, workflow planning is derived from evidence-backed decision posture, not from generic task-management mechanics."
BR_014,Filing packet formation and basis declaration,inside_core_engine,filing_intent_and_packet_not_authority_acceptance,Algorithm/authority_interaction_protocol.md#authority-interaction-protocol | Algorithm/invention_and_system_boundary.md#9-filing-packet-formation | Algorithm/invention_and_system_boundary.md#boundary-rule-3-the-engine-owns-filing-intent-and-packet-formation-not-authority-acceptance,AuthorityOperation | FilingPacket | RunManifest,client signatory | filing service | operator principal,DecisionBundle | authority operation profile | declared basis | manifest linkage,FilingPacket | basis declaration | manifest-linked packet identity,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.","omitting basis, disclaimer, or manifest lineage from filing artifacts | treating packet build or local send intent as legal completion | using unscoped packet templates across different legal journeys",Authority-integration modules must separate packet construction semantics from transport or legal acknowledgement. | Later filing and amendment flows must preserve basis type and manifest linkage explicitly.,"The engine owns packet formation and intent declaration, but legal completion remains authority-controlled."
BR_015,"Submission intent, request identity, and SubmissionRecord persistence",inside_core_engine,filing_intent_and_packet_not_authority_acceptance,Algorithm/authority_interaction_protocol.md#9-1-boundary-rule | Algorithm/authority_interaction_protocol.md#9-3-core-protocol-objects | Algorithm/invention_and_system_boundary.md#10-submission-state-handling,AuthorityBinding | AuthorityOperation | AuthorityRequestEnvelope | SubmissionRecord,authority gateway | filing service,FilingPacket | authority binding | policy snapshot hash | token/client selection,SubmissionRecord | authority interaction lineage | idempotency_key | request_hash,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",deriving request identity from live transport state after the fact | rebinding a request onto a different authority link or token lineage | treating queue resend as new legal intent without idempotency checks,"Authority request builders, dedupe logic, and recovery tooling must reuse frozen request identity fields. | Submission state machines must preserve request-to-manifest linkage independently from UI or gateway retries.","Inside the engine boundary, submission intent is a governed identity-complete artifact set, not an ordinary HTTP send."
BR_016,Authenticated authority ingress normalization and acknowledgement-state interpretation,inside_core_engine,boundary_ingress_requires_auth_correlation_normalization,Algorithm/authority_interaction_protocol.md#9-1-boundary-rule | Algorithm/invention_and_system_boundary.md#10-submission-state-handling | Algorithm/invention_and_system_boundary.md::block::boundary-ingress-note | Algorithm/security_and_runtime_hardening_contract.md#5-service-to-service-and-network-hardening,AuthorityIngressReceipt | AuthorityInteractionRecord | AuthorityResponseEnvelope | SubmissionRecord,authority gateway | filing service | ingress worker,authority reference | dedupe key | provider callback or poll payload | request lineage,acknowledgement state | legal-state mutation inputs | normalized authority artifacts,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",equating transport success or silence with CONFIRMED acknowledgement | skipping quarantine for ambiguous or duplicate ingress | treating a callback or imported notice as legal truth before authentication and correlation,"Authority ingress pipelines must persist authenticated receipts before normalization and state mutation. | Submission lifecycle, drift, and portal projections must distinguish PENDING, CONFIRMED, REJECTED, UNKNOWN, and OUT_OF_BAND states explicitly.",Authority-side messages remain outside-engine signals until the engine turns them into governed authority artifacts.
BR_017,Semantic read-side legal posture projection,inside_core_engine,exact_scope_posture_not_client_flattening,Algorithm/invention_and_system_boundary.md#10a-read-side-legal-posture-projection | Algorithm/invention_and_system_boundary.md#boundary-rule-5b-the-engine-owns-exact-scope-posture-not-client-wide-flattening | Algorithm/northbound_api_and_session_contract.md#1-core-principles,ClientPortalWorkspace | DecisionBundle | ExperienceDelta | LowNoiseExperienceFrame | TenantGovernanceSnapshot | WorkInboxSnapshot,product clients | read-side projector,durable command-side truth | manifest_id | masking context | scope bindings,ExperienceDelta | machine-stable posture artifacts | route-visible read models,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.","flattening client, partition, or obligation scope into one generic status | letting browsers or native shells reinterpret legal posture heuristically | treating stream transport fields as command-side truth","Future frontend implementations should consume engine-authored frames, deltas, and portal workspaces rather than inventing local truth. | Read-model and API contracts must preserve exact-scope posture and shell continuity without re-authoring legal semantics.",The engine owns the semantic content of route-visible posture even though client runtime and transport live outside the core.
BR_018,Drift classification and amendment recommendation,inside_core_engine,amendment_recommendation_not_unrestricted_amendment_right,Algorithm/authority_interaction_protocol.md#9-2-protocol-scope | Algorithm/invention_and_system_boundary.md#11-drift-and-amendment-recommendation | Algorithm/invention_and_system_boundary.md#boundary-rule-5-the-engine-owns-amendment-recommendation-not-unrestricted-amendment-rights,DecisionBundle | SubmissionRecord | WorkflowItem | drift monitor,drift monitor | operator principal | reviewer,authority timeline | filing baseline | later evidence | later runs,amendment recommendation | drift classification | review workflow,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",assuming HMRC amendment acceptance from internal recommendation | mutating the original filing baseline instead of creating explicit amendment lineage | treating detected drift as automatic amendment authority,"Amendment flows must separate recommendable drift from legally permitted amendment attempts. | Later authority-integration work must keep amendment intent, amendment submit, and authority acceptance as distinct states.",The engine decides whether amendment review is justified; the authority still controls legal amendment acceptance.
BR_019,"Retention, expiry, erasure, and limitation propagation governance",inside_core_engine,retention_and_limitation_governance,Algorithm/invention_and_system_boundary.md#12-retention-and-erasure-governance | Algorithm/retention_and_privacy.md#expiry-and-limitation-behavior | Algorithm/retention_and_privacy.md#retention-and-privacy,ArtifactRetention | DecisionBundle | ErasureProof | EvidenceGraph | RetentionTag,audit investigator | privacy workflow | retention service,artifact refs | legal hold state | proof-preservation state | retention basis,ArtifactRetention | RetentionTag | erasure proofs | limitation notes,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.","serializing expired or masked data as zero, false, or not observed | silently deleting decisive support while preserving filing-capable posture | treating retention as storage-only housekeeping rather than semantic governance","Later storage and recovery tasks must preserve replay basis hashes and erasure-proof lineage even when payload content is minimized. | Retention services must propagate limitation posture into proof, replay, and portal surfaces explicitly.","Retention is inside the boundary because the engine governs how expiry and erasure change explainability, trust, and replay posture."
BR_020,"Lineage-safe replay, recovery, continuation, and supersession governance",inside_core_engine,lineage_safe_replay_recovery_continuation,Algorithm/invention_and_system_boundary.md#boundary-rule-5a-the-engine-owns-lineage-safe-replay-recovery-and-continuation-decisions | Algorithm/invention_and_system_boundary.md#positive-boundary-what-is-inside-the-invention | Algorithm/replay_and_reproducibility_contract.md#purpose,ReplayAttestation | RunManifest | continuation_set | replay_and_reproducibility_contract.md,manifest orchestrator | recovery worker | replay service,continuation request | execution basis hash | historical manifest | post-seal basis,ReplayAttestation | continuation lineage | recovery posture,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",silently superseding prior manifests instead of binding explicit lineage | treating lineage-safe continuation as generic queue retry | using fresh authority reads during exact recovery,"Manifest, replay, and recovery modules must share one exact lineage vocabulary and comparison contract. | Recovery and restore automation must respect persisted reconciliation control rather than re-opening live authority behaviour heuristically.","Replay, recovery, continuation, and supersession are named engine capabilities, not incidental runtime behaviours."
BR_021,Evidence-linked explainability for engine-created states,inside_core_engine,explainability_for_engine_created_states,Algorithm/core_engine.md#practical-technical-effect | Algorithm/invention_and_system_boundary.md#boundary-rule-7-the-engine-owns-evidence-linked-explainability-for-all-states-it-creates | Algorithm/northbound_api_and_session_contract.md#1-core-principles,AuditInvestigationFrame | DecisionBundle | EnquiryPack | EvidenceGraph,audit investigator | graph service | read-side projector,authority refs | config refs | evidence refs | manifest refs | override refs,enquiry-pack artifacts | investigation frames | proof paths | reason codes,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",a final status label with no evidence path | customer-safe or masked views that hide limitations silently | explanations that exist only in transient logs,"Any later explanation, audit, or portal surface must degrade gracefully via typed limitation entries rather than vague copy. | Future automation and review agents can only rely on states that remain explainable through durable evidence and config lineage.","Rule 7 is broader than graph construction: every state the engine creates must remain explainable back to manifest, evidence, config, overrides, and authority acknowledgement."
BR_022,Compliance-vs-analysis execution boundary enforcement,inside_core_engine,compliance_vs_analysis_segregation,Algorithm/invention_and_system_boundary.md#boundary-rule-8-the-engine-owns-compliance-vs-analysis-segregation | Algorithm/invention_and_system_boundary.md#practical-technical-effect | Algorithm/replay_and_reproducibility_contract.md#counterfactual-analysis,DecisionBundle | FilingPacket | ReplayAttestation | execution_mode_boundary_contract,compute service | filing service | replay service,analysis_only | counterfactual_basis | execution_mode | legal_effect_boundary,blocked legal-effect posture | disclosure reason codes | execution_mode_boundary_contract,The engine owns this semantic rule and its durable state transitions; adjacent layers may invoke or deliver it but must not reinterpret it.,"Fail closed on scope, mode, policy, and authority-binding drift; preserve immutable manifest lineage and least-privilege evidence access.","Emit phase-bounded audit events, reason codes, hashes, and artifact refs sufficient to replay and defend the resulting posture.","Downgrade to blocked, review, or analysis-only posture with typed reasons rather than silently proceeding.",analysis-only or replay-only outputs flowing onto live submit paths | collapsing COMPLIANCE and ANALYSIS into one generic mode label | inferring filing capability from successful compute alone,"Authority-facing modules must reject any artifact whose execution boundary remains analysis or counterfactual. | Future replay, forecast, filing, and read-model work must branch on persisted execution-mode boundaries rather than UI state.","The engine must preserve a durable legal-effect boundary around all modeled, replay-only, or counterfactual results."
