timeline_order,phase_id,phase_name,step_id,event_code,event_family,source_line_start,source_line_end,primary_lane,mandatory_correlation_keys
15,P05,"Evaluate the ordered pre-seal gate chain, persist pre-start blocked context if needed, and seal only when a new pre-start context was built",P05-S014,ManifestFrozen,manifest_lifecycle,854,854,PRESEAL_GATES,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
16,P05,"Evaluate the ordered pre-seal gate chain, persist pre-start blocked context if needed, and seal only when a new pre-start context was built",P05-S046,ManifestSealed,manifest_lifecycle,995,995,PRESEAL_GATES,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
17,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S009,FrozenPostSealBasisLoaded,run_observability,1027,1027,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
18,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S019,RunStartClaimRejected,run_observability,1092,1092,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
19,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S023,RunStartClaimRejected,run_observability,1097,1097,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
20,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S027,RunStartClaimRejected,run_observability,1102,1102,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
21,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S031,RunStartClaimRejected,run_observability,1107,1107,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
22,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S035,RunStartClaimRejected,run_observability,1112,1112,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
23,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S043,RunStartClaimRejected,run_observability,1126,1126,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
24,P06,Claim the sealed manifest and publish the post-seal command DAG atomically,P06-S046,RunStarted,run_observability,1131,1131,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
25,P07,Await post-seal command DAG completion and adopt mandatory outputs,P07-S021,HistoricalAuthorityBasisReused,authority_submission,1200,1200,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
26,P07,Await post-seal command DAG completion and adopt mandatory outputs,P07-S022,HistoricalLateDataBasisReused,run_observability,1201,1201,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
27,P07,Await post-seal command DAG completion and adopt mandatory outputs,P07-S033,ComputeCompleted,run_observability,1220,1220,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
28,P07,Await post-seal command DAG completion and adopt mandatory outputs,P07-S034,ForecastCompleted,run_observability,1222,1222,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
29,P07,Await post-seal command DAG completion and adopt mandatory outputs,P07-S035,RiskScored,run_observability,1224,1224,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
30,P07,Await post-seal command DAG completion and adopt mandatory outputs,P07-S036,GraphBuilt,run_observability,1226,1226,POSTSEAL_DAG,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
31,P08,Retention evidence gate,P08-S003,GateEvaluated,gate,1281,1281,RETENTION_AND_TERMINALIZATION,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
32,P09,"Authority context, comparison basis, parity, and parity gate",P09-S011,BaselineSelected,run_observability,1339,1339,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
33,P09,"Authority context, comparison basis, parity, and parity gate",P09-S016,DriftRetroactiveImpactAnalyzed,drift_amendment,1361,1361,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
34,P09,"Authority context, comparison basis, parity, and parity gate",P09-S020,DriftSuperseded,drift_amendment,1366,1366,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
35,P09,"Authority context, comparison basis, parity, and parity gate",P09-S021,DriftDetected,drift_amendment,1367,1367,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
36,P09,"Authority context, comparison basis, parity, and parity gate",P09-S022,DriftClassified,drift_amendment,1368,1368,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
37,P09,"Authority context, comparison basis, parity, and parity gate",P09-S025,AmendmentWindowEvaluated,drift_amendment,1372,1372,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
38,P09,"Authority context, comparison basis, parity, and parity gate",P09-S037,IntentToAmendTriggered,run_observability,1409,1409,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
39,P09,"Authority context, comparison basis, parity, and parity gate",P09-S041,GateEvaluated,gate,1436,1436,AUTHORITY_CONTEXT,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
40,P09,"Authority context, comparison basis, parity, and parity gate",P09-S048,WorkflowOpened,workflow,1457,1457,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
41,P09,"Authority context, comparison basis, parity, and parity gate",P09-S059,GateEvaluated,gate,1527,1527,AUTHORITY_CONTEXT,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
42,P09,"Authority context, comparison basis, parity, and parity gate",P09-S070,ParityEvaluated,run_observability,1599,1599,AUTHORITY_CONTEXT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
43,P09,"Authority context, comparison basis, parity, and parity gate",P09-S073,GateEvaluated,gate,1609,1609,AUTHORITY_CONTEXT,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
44,P10,Drift posture and amendment posture preparation,P10-S006,BaselineSelected,run_observability,1638,1638,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
45,P10,Drift posture and amendment posture preparation,P10-S011,DriftRetroactiveImpactAnalyzed,drift_amendment,1668,1668,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
46,P10,Drift posture and amendment posture preparation,P10-S015,DriftSuperseded,drift_amendment,1682,1682,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
47,P10,Drift posture and amendment posture preparation,P10-S016,DriftDetected,drift_amendment,1684,1684,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
48,P10,Drift posture and amendment posture preparation,P10-S017,DriftClassified,drift_amendment,1686,1686,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
49,P10,Drift posture and amendment posture preparation,P10-S020,AmendmentWindowEvaluated,drift_amendment,1696,1696,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
50,P10,Drift posture and amendment posture preparation,P10-S023,AmendmentEligibilityEvaluated,drift_amendment,1716,1716,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
51,P11,Trust synthesis and command-side case state,P11-S008,TrustSynthesized,run_observability,1798,1798,TRUST_AND_WORKFLOW,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
52,P11,Trust synthesis and command-side case state,P11-S011,GateEvaluated,gate,1808,1808,TRUST_AND_WORKFLOW,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
53,P12,Workflow planning and immediate consequence refresh,P12-S009,WorkflowOpened,workflow,1883,1883,TRUST_AND_WORKFLOW,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
54,P12,Workflow planning and immediate consequence refresh,P12-S011,WorkflowResolved,workflow,1886,1886,TRUST_AND_WORKFLOW,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
55,P13,Publish live read-model projections and conditionally terminalize on trust posture,P13-S013,TwinBuilt,run_observability,2040,2040,LIVE_EXPERIENCE,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
56,P14,Amendment gate and intent-to-amend progression,P14-S004,AmendmentFreshnessInvalidated,drift_amendment,2173,2173,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
57,P14,Amendment gate and intent-to-amend progression,P14-S007,GateEvaluated,gate,2189,2189,DRIFT_AND_AMENDMENT,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
58,P14,Amendment gate and intent-to-amend progression,P14-S014,WorkflowOpened,workflow,2210,2210,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
59,P14,Amendment gate and intent-to-amend progression,P14-S022,DriftReviewEscalated,drift_amendment,2261,2261,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
60,P14,Amendment gate and intent-to-amend progression,P14-S042,IntentToAmendTriggered,run_observability,2354,2354,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
61,P14,Amendment gate and intent-to-amend progression,P14-S046,GateEvaluated,gate,2381,2381,DRIFT_AND_AMENDMENT,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
62,P14,Amendment gate and intent-to-amend progression,P14-S054,IntentToAmendValidated,run_observability,2402,2402,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
63,P14,Amendment gate and intent-to-amend progression,P14-S058,DriftReviewEscalated,drift_amendment,2416,2416,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
64,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S008,GateEvaluated,gate,2500,2500,FILING_AND_SUBMISSION,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
65,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S015,WorkflowOpened,workflow,2514,2514,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
66,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S023,GateEvaluated,gate,2578,2578,FILING_AND_SUBMISSION,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
67,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S030,WorkflowOpened,workflow,2592,2592,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
68,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S041,GateEvaluated,gate,2678,2678,FILING_AND_SUBMISSION,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
69,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S048,WorkflowOpened,workflow,2691,2691,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
70,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S068,FilingPacketPrepared,run_observability,2784,2784,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
71,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S074,GateEvaluated,gate,2840,2840,FILING_AND_SUBMISSION,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
72,P15,"Authority calculation, filing readiness, packet preparation, and filing gate",P15-S083,WorkflowOpened,workflow,2855,2855,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
73,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S013,AmendmentBundlePrepared,drift_amendment,2996,2996,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
74,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S017,AuthorityOperationPlanned,authority_submission,3007,3007,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
75,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S024,AuthorityRequestBuilt,authority_submission,3046,3046,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
76,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S029,GateEvaluated,gate,3074,3074,FILING_AND_SUBMISSION,"client_id, gate_code, manifest_id, mode, run_kind, tenant_id, trace_id"
77,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S036,WorkflowOpened,workflow,3087,3087,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
78,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S048,AmendmentSubmitted,drift_amendment,3159,3159,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
79,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S061,SubmissionAttempted,authority_submission,3207,3207,FILING_AND_SUBMISSION,"authority_operation_id, client_id, idempotency_key, manifest_id, mode, request_hash, run_kind, submission_record_id, tenant_id, trace_id"
80,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S081,WorkflowOpened,workflow,3280,3280,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
81,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S086,WorkflowOpened,workflow,3322,3322,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
82,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S092,AuthorityReconciliationResolved,authority_submission,3362,3362,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
83,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S094,SubmissionConfirmed,authority_submission,3365,3365,FILING_AND_SUBMISSION,"authority_operation_id, client_id, manifest_id, mode, run_kind, submission_record_id, tenant_id, trace_id"
84,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S096,SubmissionRejected,authority_submission,3367,3367,FILING_AND_SUBMISSION,"authority_operation_id, client_id, manifest_id, mode, run_kind, submission_record_id, tenant_id, trace_id"
85,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S098,OutOfBandStateObserved,run_observability,3369,3369,FILING_AND_SUBMISSION,"authority_operation_id, client_id, manifest_id, mode, run_kind, submission_record_id, tenant_id, trace_id"
86,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S100,SubmissionUnknown,authority_submission,3371,3371,FILING_AND_SUBMISSION,"authority_operation_id, client_id, manifest_id, mode, run_kind, submission_record_id, tenant_id, trace_id"
87,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S101,SubmissionReconciled,authority_submission,3373,3373,FILING_AND_SUBMISSION,"authority_operation_id, client_id, manifest_id, mode, run_kind, submission_record_id, tenant_id, trace_id"
88,P16,"Submission enqueue, governed transmit, inbox-normalized recovery, and bounded reconciliation",P16-S116,AmendmentConfirmed,drift_amendment,3450,3450,FILING_AND_SUBMISSION,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
89,P17,Post-authority drift monitoring,P17-S004,BaselineSelected,run_observability,3475,3475,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
90,P17,Post-authority drift monitoring,P17-S009,DriftRetroactiveImpactAnalyzed,drift_amendment,3503,3503,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
91,P17,Post-authority drift monitoring,P17-S013,DriftSuperseded,drift_amendment,3508,3508,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
92,P17,Post-authority drift monitoring,P17-S014,DriftDetected,drift_amendment,3509,3509,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
93,P17,Post-authority drift monitoring,P17-S015,DriftClassified,drift_amendment,3510,3510,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
94,P17,Post-authority drift monitoring,P17-S018,AmendmentWindowEvaluated,drift_amendment,3518,3518,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
95,P17,Post-authority drift monitoring,P17-S022,AuthorityAcceptedStateInternallySuperseded,authority_submission,3530,3530,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
96,P17,Post-authority drift monitoring,P17-S023,AmendmentEligibilityEvaluated,drift_amendment,3531,3531,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
97,P17,Post-authority drift monitoring,P17-S029,WorkflowOpened,workflow,3558,3558,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id, workflow_item_id"
98,P17,Post-authority drift monitoring,P17-S031,DriftReviewEscalated,drift_amendment,3560,3560,DRIFT_AND_AMENDMENT,"client_id, manifest_id, mode, run_kind, tenant_id, trace_id"
